Rank,Name,Team,Cl,Height,Position,G,ST,STPG
-,Malevy Leons,Bradley,Sr.,6-9,F,35,52,1.49
-,Ra'Heim Moss,Toledo,So.,6-4,G,35,52,1.49
186,Tyler Burton,Richmond,Sr.,6-7,F,33,49,1.48
-,Chris Mullins,William & Mary,Sr.,6-3,G,33,49,1.48
-,Will Richardson,Oregon,Sr.,6-5,G,33,49,1.48
189,Isaiah Burke,Morgan St.,Sr.,6-1,G,31,46,1.48
-,Khaleb Wilson-Rouse,New Orleans,Jr.,6-2,G,31,46,1.48
191,KJ Simpson,Colorado,So.,6-2,G,29,43,1.48
192,Matt Cross,Massachusetts,Jr.,6-7,F,25,37,1.48
193,Kobe Brown,Missouri,Sr.,6-7,F,34,50,1.47
-,C.J. Kelly,UCF,Sr.,6-5,G,34,50,1.47
-,Cameron Matthews,Mississippi St.,Jr.,6-7,F,34,50,1.47
-,Adrian Nelson,Youngstown St.,Sr.,6-7,F,34,50,1.47
197,Justin Mullins,Denver,Fr.,6-6,G,32,47,1.47
198,Jonathan Cisse,UIW,Jr.,6-1,G,30,44,1.47
199,Lamont Butler,San Diego St.,Jr.,6-2,G,39,57,1.46
200,Jayden Nunn,VCU,So.,6-4,G,35,51,1.46
-,DeAndre Williams,Memphis,Sr.,6-9,F,35,51,1.46
202,Gabe Kalscheur,Iowa St.,Sr.,6-4,G,33,48,1.45
-,Justyn Mutts,Virginia Tech,Sr.,6-7,F,33,48,1.45
-,Jakari Spence,Monmouth,Jr.,6-0,G,33,48,1.45
-,Shamar Wright,SIUE,Jr.,6-7,G,33,48,1.45
-,Jaeden Zackery,Boston College,So.,6-2,G,33,48,1.45
207,Makai Ashton-Langford,Boston College,Sr.,6-3,G,31,45,1.45
-,Shaun Doss Jr.,Ark.-Pine Bluff,Sr.,6-5,G,31,45,1.45
-,Latrell Jones,Nicholls,Sr.,6-5,G,31,45,1.45
-,Trey Miller,UIW,Fr.,6-2,G,31,45,1.45
-,Hunter Woods,Portland St.,Sr.,6-6,F,31,45,1.45
212,Caleb Fields,Fairfield,Sr.,6-2,G,29,42,1.45
-,Geronimo Rubio De La Rosa,Columbia,So.,6-2,G,29,42,1.45
-,KJ Simon,UT Martin,Sr.,6-3,G,29,42,1.45
215,Gradey Dick,Kansas,Fr.,6-8,G,36,52,1.44
-,Colin Porter,Liberty,Fr.,5-9,G,36,52,1.44
217,Ricky Clemons,Campbell,Sr.,6-2,G,34,49,1.44
-,Terquavion Smith,NC State,So.,6-4,G,34,49,1.44
219,Ja'von Franklin,Georgia Tech,Sr.,6-7,F,32,46,1.44
-,Kendall Lewis,Illinois St.,Sr.,6-8,F,32,46,1.44
-,Tony Perkins,Iowa,Jr.,6-4,G,32,46,1.44
-,Samuell Williamson,SMU,Sr.,6-7,F,32,46,1.44
223,Bez Mbeng,Yale,So.,6-4,G,30,43,1.43
224,Brandon Stroud,Kennesaw St.,Jr.,6-6,G,35,50,1.43
-,Guy Fauntleroy,Austin Peay,Fr.,6-0,G,28,40,1.43
226,Jalen Finch,Ga. Southern,Sr.,6-1,G,33,47,1.42
-,Darrion Williams,Nevada,Fr.,6-6,F,33,47,1.42
228,Cam Whitmore,Villanova,Fr.,6-7,F,26,37,1.42
229,Kamron Hobbs,Morgan St.,So.,5-10,G,31,44,1.42
-,Chase Johnston,FGCU,Jr.,6-3,G,31,44,1.42
231,Jahmai Mashack,Tennessee,So.,6-4,G,36,51,1.42
-,Deshawndre Washington,New Mexico St.,Jr.,6-7,G,24,34,1.42
233,Brandon Murray,Georgetown,So.,6-5,G,27,38,1.41
234,Nigel Scantlebury,Central Conn. St.,Sr.,6-0,G,32,45,1.41
235,Drake Allen,Southern Utah,So.,6-4,G,37,52,1.41
236,Tae Williams,Cleveland St.,Jr.,6-7,G,35,49,1.4
-,Nana Owusu-Anane,Brown,So.,6-8,F,25,35,1.4
238,Boogie Ellis,Southern California,Sr.,6-3,G,33,46,1.39
-,Corey Tripp,Wofford,So.,6-2,G,33,46,1.39
240,Trejon Ware,Ark.-Pine Bluff,So.,5-9,G,28,39,1.39
241,Kam Jones,Marquette,So.,6-4,G,36,50,1.39
242,Curtis Jones,Buffalo,So.,6-5,G,31,43,1.39
-,Kylen Milton,Ark.-Pine Bluff,Jr.,6-4,G,31,43,1.39
-,Jaylon Tyson,Texas Tech,So.,6-6,G,31,43,1.39
245,Kinyon Hodges,Eastern Ill.,Jr.,6-2,G,26,36,1.38
246,Ty Berry,Northwestern,Jr.,6-3,G,34,47,1.38
-,Dwayne Cohill,Youngstown St.,Sr.,6-2,G,34,47,1.38
-,Ithiel Horton,UCF,Sr.,6-5,G,34,47,1.38
249,Dale Bonner,Baylor,Sr.,6-3,G,29,40,1.38
-,Hunter Maldonado,Wyoming,Sr.,6-7,G,29,40,1.38
-,"Dwight Murray, Jr.",Rider,Sr.,6-0,G,29,40,1.38
