Rank,Name,Team,Cl,Height,Position,G,3FG,3FGA
-,C.J. Kelly,UCF,Sr.,6-5,G,34,67,173
-,Tyreke Locure,ULM,Jr.,6-0,G,32,67,181
-,Matthew Mayer,Illinois,Sr.,6-9,F,33,67,203
-,Omari Moore,San Jose St.,Jr.,6-6,G,35,67,198
-,Sean Pedulla,Virginia Tech,So.,6-1,G,34,67,195
-,Matteo Picarelli,UMBC,Jr.,6-2,G,32,67,170
-,John Poulakidas,Yale,So.,6-5,G,30,67,167
-,Trey Woodbury,Utah Valley,Sr.,6-4,G,37,67,169
237,Chibuzo Agbo,Boise St.,Jr.,6-7,G,34,66,164
-,Trey Alexander,Creighton,So.,6-4,G,37,66,161
-,Damezi Anderson,Detroit Mercy,Sr.,6-7,F,33,66,191
-,Grant Basile,Virginia Tech,Sr.,6-9,F,34,66,169
-,Jamari Blackmon,ULM,Sr.,6-0,G,31,66,174
-,Claudell Harris Jr.,Charleston So.,So.,6-3,G,30,66,198
-,Alex Karaban,UConn,Fr.,6-8,F,39,66,164
-,Ryan Langborg,Princeton,Sr.,6-2,G,32,66,199
-,Kaden Metheny,Bowling Green,So.,5-11,G,28,66,173
-,Kris Murray,Iowa,Jr.,6-8,F,29,66,197
-,Keisei Tominaga,Nebraska,Jr.,6-2,G,32,66,165
-,Tyrese Williams,Quinnipiac,Sr.,6-3,G,32,66,177
249,DeVon Cooper,George Mason,Sr.,6-4,G,33,65,195
-,Kendric Davis,Memphis,Sr.,5-11,G,34,65,188
-,Yann Farell,St. Bonaventure,Fr.,6-6,F,32,65,155
-,Marcus Foster,Furman,Jr.,6-4,G,36,65,180
-,Sherif Gross-Bullock,Bryant,Sr.,6-4,G,29,65,164
-,Cory Hightower,Winthrop,Sr.,6-7,F,30,65,175
-,Demetre Roberts,FDU,Sr.,5-8,G,37,65,200
-,Jorell Saterfield,Portland St.,Jr.,6-4,G,31,65,190
-,Steven Verplancken,Weber St.,Jr.,6-4,G,33,65,156
258,James Bishop,George Washington,Sr.,6-2,G,32,64,214
-,Boo Buie,Northwestern,Sr.,6-2,G,34,64,201
-,Sincere Carry,Kent St.,Sr.,6-1,G,35,64,210
-,Aaron Deloney,Vermont,Sr.,6-0,G,34,64,159
-,RJ Felton,East Carolina,So.,6-3,G,33,64,196
-,Joe French,Bethune-Cookman,Jr.,6-5,G,32,64,158
-,Noah Harris,Marist,So.,6-1,G,33,64,214
-,Keondre Kennedy,UNC Greensboro,Sr.,6-6,G,30,64,160
-,Brock Mackenzie,Idaho St.,Sr.,6-2,G,32,64,158
-,Dante Maddox Jr.,Toledo,So.,6-2,G,35,64,142
-,Issac McBride,Oral Roberts,Jr.,6-0,G,35,64,157
-,Kevion Nolan,Jacksonville,Sr.,6-2,G,29,64,197
-,Frankie Policelli,Stony Brook,Sr.,6-7,F,33,64,174
-,Kalil Thomas,Morehead St.,Jr.,6-5,G,33,64,171
-,Dalvin White,Chattanooga,Sr.,5-10,G,33,64,152
-,Jordan Wood,Howard,Jr.,6-9,F,35,64,173
274,Kellen Amos,Central Conn. St.,Jr.,6-6,G,32,63,179
-,Brandon Betson,Tulsa,Jr.,6-1,G,30,63,154
-,Dalton Bolon,Col. of Charleston,Sr.,6-4,G,35,63,189
-,Jr. Clay,Tennessee St.,Jr.,6-0,G,30,63,190
-,RJ Davis,North Carolina,Jr.,6-0,G,33,63,174
-,Harwin Francois,McNeese,Sr.,6-5,G,34,63,175
-,Noah Freidel,James Madison,Jr.,6-4,G,33,63,199
-,Juan Sebastian Gorosito,Portland,Fr.,6-1,G,33,63,159
-,Sam Griffin,Tulsa,Jr.,6-3,G,26,63,197
